qname;name;award_type;year_of_fellowship;gender;num_papers;num_papers_before_award;num_papers_during_award;num_papers_after_award;num_cites;num_cites_before_award;num_cites_during_award;num_cites_after_award;num_coauthors;num_of_self_cites
Schlichting, H;Hilke Schlichting;Hubble;2010;f;15;8;4;2;263;73;62;128;31;0
Li, L;Li-Xin Li;Einstein;2001;f;226;40;19;149;2993;96;185;2712;505;0
Bird, S;Simeon Bird;Einstein;2015;m;10;7;0;0;161;137;24;0;33;0
Zhang, W;Weiquin Zhang;Einstein;2004;m;75;20;9;39;1868;522;177;1169;221;0
Macri, L;Lucas Macri;Hubble;2002;m;15;8;1;6;440;38;40;362;68;0
Yunes, N;Nicolas Yunes;Einstein;2010;m;28;13;6;1;714;109;300;305;48;0
Gnat, O;Orly Gnat;Einstein;2008;f;7;2;3;1;198;9;51;138;7;0
Herbig, T;Thomas Herbig;Hubble;1993;m;4;1;2;1;190;2;10;178;9;0
Offner, S;Stella Offner;Hubble;2012;f;18;10;5;0;373;139;186;48;41;0
Roberts, L;Luke Roberts;Einstein;2013;m;29;25;4;0;348;153;195;0;151;0
Liu, M;Michael Liu;Hubble;2002;m;75;19;4;47;1866;163;123;1580;218;0
Cooper, M;Michael Cooper;Hubble;2010;m;22;16;3;0;1125;586;251;288;109;0
Harris, J;Jason Harris;Hubble;2003;m;34;22;2;8;1198;295;78;825;91;0
Dalcanton, J;Julianne Dalcanton;Hubble;1994;f;22;1;3;14;1606;1;31;1574;112;0
Rossi, E;Elena Rossi;Einstein;2005;f;13;5;2;3;385;109;81;195;36;0
Berger, J;Jean-Philippe Berger;Sagan;2000;m;36;28;1;7;425;249;24;152;120;0
Callanan, P;Paul Callanan;Hubble;1990;m;23;5;3;13;434;7;29;398;70;0
Hellier, C;Coel Hellier;Hubble;1992;m;52;11;10;29;1565;67;110;1388;206;0
Bolte, M;Michael Bolte;Hubble;1990;m;19;11;3;3;592;36;77;479;8;0
Stone, N;Nicholas Stone;Einstein;2015;m;20;17;1;0;303;273;30;0;36;0
Staggs, S;Suzanne Staggs;Hubble;1994;f;4;1;3;0;42;0;2;40;9;0
van Weeren, R;Reinout van Weeren;Einstein;2012;m;22;12;4;3;340;100;187;53;377;0
Bezanson, R;Rachel Bezanson;Hubble;2013;f;7;3;1;0;274;132;142;0;30;0
Madigan, A;Ann-Marie Madigan;Einstein;2012;f;6;2;1;1;74;22;42;10;11;0
Milosavljevic, M;Milos Milosavljevic;Hubble;2005;m;16;5;6;4;1160;158;197;805;29;0
Fong, W;Wen-fai Fong;Einstein;2014;f;9;5;2;0;264;137;127;0;64;0
Juric, M;Mario Juric;Hubble;2009;m;4;4;0;0;674;116;214;344;41;0
Borde, P;Pascal Borde;Sagan;2003;m;7;2;0;2;247;1;32;214;58;0
Socrates, A;Aristotle Socrates;Hubble;2004;m;12;0;3;7;207;0;16;191;17;0
Majewski, S;Steven R. Majewski;Hubble;1992;m;24;0;6;17;2211;0;73;2138;114;0
Carollo, M;Marcella Carollo;Hubble;1996;f;19;5;5;8;1549;32;125;1392;66;0
Fabrycky, D;Daniel Fabrycky;Sagan;2007;m;9;1;2;2;985;3;108;874;59;0
Levesque, E;Emily Levesque;Einstein;2010;f;24;5;5;4;746;125;290;331;94;0
Boettcher, M;Markus Boettcher;Einstein;1999;m;74;16;14;31;1733;44;176;1513;367;0
Ryan, S;Sean G. Ryan;Hubble;1991;m;31;4;3;21;2248;9;101;2138;50;0
Jonker, P;Peter Jonker;Einstein;2003;m;37;11;7;14;931;88;105;738;193;0
